sizeOfTrainingSet,averageError,stdErrorOfMeanError,stdDeviationOfMeanError
5,3.852104102122823,0.6520269226659889,1.4579765222411498
6,3.5663644962457184,0.5904035403011821,1.4461874160706203
7,3.332904957471628,0.6231115745093194,1.6485982651975533
8,3.3751865648472714,0.5553264370707347,1.5707003576995242
9,3.406596458813534,0.5087778251695402,1.5263334755086204
10,3.1240440270355982,0.3381278327637343,1.069254091829907
11,3.06386732219016,0.3243399802333684,1.07571401894537
12,3.019561967151078,0.29775749823561043,1.031462230557355
13,2.873823830472433,0.26883039948033105,0.9692817897298014
14,2.7285880590014173,0.26343477897112894,0.9856826866704852
15,2.7236804057791604,0.2536518009013859,0.9823892006265871
16,2.7169062857145647,0.24794241510299722,0.9917696604119889
17,2.39157151351946,0.2175288996176517,0.8968946297479591
18,2.2769683187267864,0.22247582173709904,0.9438849732021134
19,2.1725608777815313,0.2226107062866057,0.9703375724535289
20,2.1417394747066747,0.20186507733614154,0.9027680704137293
21,2.091087519573536,0.2004331220522251,0.9184999535806442
22,2.1098174198377286,0.18643074358327957,0.8744376978186152
23,1.989517930072982,0.192734466715384,0.9243220311025045
24,2.066509692724424,0.14025430759861982,0.6871029756879519
25,2.2106890806471564,0.14909741211665367,0.7454870605832683
26,1.9889527819607662,0.17811033187730693,0.908188057814875
27,1.7832622236160407,0.17356653138827166,0.9018781525739545
28,1.7291298453435053,0.10370550809859848,0.5487579680329729
29,1.5667787044994668,0.10985652083252669,0.5915954698215612
30,1.5010031280920317,0.11371810817346817,0.6228597304342112
31,1.5387939129797243,0.10439052791896461,0.5812218611642236
32,1.5173780749373305,0.10284353333728627,0.5817708785918392
33,1.4777083307656578,0.10556386566487576,0.6064182395226037
34,1.577188967108825,0.14540227383717896,0.847833664145714
35,1.5231695748734162,0.12930355778454916,0.7649701640920242
36,1.4823661618285904,0.1405491089275107,0.8432946535650643
37,1.4749413743937647,0.13053867288221097,0.7940357481627691
38,1.3921901526465679,0.13151889129166172,0.8107368951332741
39,1.3393398821457165,0.13960310402179865,0.871821105186336
40,1.3777336503536721,0.13402621308775814,0.847656199048769
41,1.376784406840457,0.13147580896575098,0.841855939024691
42,1.3502438206684286,0.11962083925757269,0.775231641354256
43,1.2625055599669524,0.11058948246116143,0.7251837326734404
44,1.2565847780302855,0.10907290939068967,0.7235078304826993
45,1.2435552521233872,0.11060362745271354,0.7419516886269882
46,1.2352479451445038,0.10880239420693308,0.7379337404654972
47,1.2244566779586314,0.11161696381366906,0.7652073514519772
48,1.2116605331383545,0.09989155283786012,0.6920689790484992
49,1.1909401487301194,0.09960857605904894,0.6972600324133426
50,1.1885251868518383,0.09312135783450058,0.658467435980744
