sizeOfTrainingSet,averageError,stdErrorOfMeanError
1,0.6802854750156402,0.7246689315027361
2,0.512513612662043,0.4059850040172448
3,0.4883020340629987,0.33111217317805325
4,0.41377753605161394,0.2776099092322556
5,0.3394398857184818,0.22755713251283713
6,0.3022614227192742,0.19347809117005563
7,0.2943217830657959,0.16969970181278074
8,0.2840106415748596,0.15853474032688952
9,0.2832508771419525,0.1454867188887461
10,0.26972707784175864,0.12610739007073435
11,0.2895812226022992,0.1189895298643855
12,0.27064659225089205,0.11298426271593041
13,0.29258481064864567,0.12100602360741591
14,0.28476570858274186,0.10943281908391952
15,0.27144974642140524,0.10674690277820387
16,0.2669185583250863,0.08964770742563971
17,0.2575390478372573,0.08315611618370419
18,0.24397836094243186,0.08187362768188589
19,0.17625561191354483,0.038892217222367895
20,0.20625452349867143,0.046639372501096225
21,0.1816729397092547,0.04105949687831972
22,0.1956821460894176,0.04165688624493369
23,0.194219168816294,0.04018434527675107
24,0.18285882198810582,0.04283466193382474
25,0.19053335719449185,0.04039733135375988
26,0.1716685337339129,0.03411873196237858
27,0.16016219351972852,0.03284935904225442
28,0.13963847798960552,0.025925734815986375
29,0.15992700055667333,0.027059800641361476
30,0.14878994182177951,0.02879149914246368
31,0.1491052516869136,0.025121844524677875
32,0.15157055097818378,0.02534560572911494
33,0.16200228592327662,0.025007716204732647
34,0.14415750670433045,0.025060080821484518
