,Unnamed: 0,type,Density,GSA,VSA,VF,PV,LCD,PLD,UG
0,0,JUPFOP_CoRE,1.76,0.0,0.0,0.22,0.26,4.08,2.81,0.56
1,1,KUTNEU_CSD17,0.69,2982.16,2053.53,0.73,1.06,11.79,6.97,2.93
2,2,YAPGIG_CSD17,1.04,821.94,852.78,0.52,0.51,5.46,4.22,0.33
3,3,EQOCIW_CoRE,1.18,0.0,0.0,0.37,0.46,5.7,2.46,0.69
4,4,ACMPCD_CoRE,1.69,191.8,323.5,0.19,0.27,5.67,4.61,0.2
5,5,LOTDIJ_CSD17,0.85,1326.75,1122.68,0.58,0.69,5.65,4.37,0.66
6,6,WOJMOY_CSD17,1.05,996.07,1050.32,0.63,0.6,5.73,5.43,0.74
7,7,GURVIZ_CSD17,1.39,328.41,455.48,0.43,0.31,5.72,4.06,0.16
8,8,WANWAL_CSD17,1.42,264.8,375.81,0.49,0.34,4.92,3.89,0.22
9,9,TEDLUK_CoRE,1.33,347.9,461.4,0.29,0.34,5.53,4.63,0.08
10,10,NISPEL_CoRE,1.33,645.3,856.9,0.39,0.4,5.69,3.92,0.25
11,11,XUYDIF_CoRE,1.78,0.0,0.0,0.14,0.23,3.89,2.91,0.17
12,12,LAGRES_CoRE,1.68,0.0,0.0,0.3,0.3,4.05,2.46,0.26
13,13,FIPKOG01_CSD17,1.09,896.56,978.56,0.58,0.54,6.54,4.81,0.63
14,14,YAXBOP_CoRE,1.13,1078.5,1213.5,0.53,0.52,6.03,5.79,0.55
15,15,HIKSIF_CSD17,0.73,2827.19,2070.13,0.74,1.01,16.57,4.85,2.47
16,16,QOPHEI_CoRE,1.62,0.0,0.0,0.14,0.28,3.52,2.57,0.17
17,17,COWQOW_CSD17,1.23,0.0,0.0,0.45,0.36,4.05,2.06,0.37
18,18,GUSNEN_CoRE,1.52,0.0,0.0,0.12,0.28,3.0,2.79,0.07
19,19,QIYDUY_CSD17,1.14,1184.05,1351.72,0.61,0.54,5.56,4.72,0.66
20,20,GAJBIE_UM,0.87,2323.52,2037.36,0.53,0.61,5.58,4.24,0.99
21,21,ABOHOO_CSD17,2.49,217.16,541.47,0.49,0.2,5.87,4.29,0.34
22,22,OKIXIQ02_CoRE,1.2,464.5,559.5,0.38,0.4,5.12,4.16,0.27
23,23,VIZSOO_CSD17,0.6,3941.76,2359.99,0.75,1.26,10.55,4.56,2.76
24,24,GEWXAJ_CoRE,1.7,255.1,432.7,0.24,0.24,4.83,4.49,0.06
25,25,YEGNOO_CSD17,0.89,1447.95,1289.74,0.61,0.69,16.09,5.9,1.56
26,26,QUXFOF_CSD17,0.99,990.62,979.05,0.53,0.53,8.19,5.68,0.79
27,27,CEHKUW_CoRE,1.26,1517.4,1917.2,0.68,0.51,6.94,5.89,0.82
28,28,WESYOJ_CSD17,1.14,755.57,857.63,0.56,0.49,4.98,4.2,0.27
29,29,SAMFER_UM,0.76,2332.83,892.58,0.53,0.7,4.35,3.75,1.42
30,30,OGAKOY_CSD17,1.2,787.98,946.79,0.6,0.5,6.34,4.14,0.59
31,31,WINGEF_UM,0.94,1405.65,1322.78,0.5,0.53,6.61,4.04,1.01
32,32,XEGKOL_CSD17,0.98,1823.78,1795.39,0.66,0.67,8.26,5.96,1.54
33,33,WITJUG_CSD17,0.99,1625.91,1617.54,0.61,0.61,5.89,4.96,1.1
34,34,UFOPEK_CSD17,1.21,886.54,1076.18,0.55,0.46,7.11,6.52,0.62
